SiPM_ID,AsAd_ID,AGET_ID,CHANNEL_ID
31,0,0,0
147,0,0,1
30,0,0,2
146,0,0,3
29,0,0,4
145,0,0,5
28,0,0,6
144,0,0,7
24,0,0,8
148,0,0,9
25,0,0,10
149,0,0,12
26,0,0,13
150,0,0,14
27,0,0,15
151,0,0,16
23,0,0,17
155,0,0,18
22,0,0,19
154,0,0,20
21,0,0,21
153,0,0,23
20,0,0,24
152,0,0,25
16,0,0,26
156,0,0,27
17,0,0,28
157,0,0,29
18,0,0,30
158,0,0,31
19,0,0,32
159,0,0,33
7,0,0,34
139,0,0,35
6,0,0,36
138,0,0,37
5,0,0,38
137,0,0,39
4,0,0,40
136,0,0,41
0,0,0,42
140,0,0,43
1,0,0,44
141,0,0,46
2,0,0,47
142,0,0,48
3,0,0,49
143,0,0,50
15,0,0,51
131,0,0,52
14,0,0,53
130,0,0,54
13,0,0,55
129,0,0,57
12,0,0,58
128,0,0,59
8,0,0,60
132,0,0,61
9,0,0,62
133,0,0,63
10,0,0,64
134,0,0,65
11,0,0,66
135,0,0,67
63,0,1,0
179,0,1,1
62,0,1,2
178,0,1,3
61,0,1,4
177,0,1,5
60,0,1,6
176,0,1,7
56,0,1,8
180,0,1,9
57,0,1,10
181,0,1,12
58,0,1,13
182,0,1,14
59,0,1,15
183,0,1,16
55,0,1,17
187,0,1,18
54,0,1,19
186,0,1,20
53,0,1,21
185,0,1,23
52,0,1,24
184,0,1,25
48,0,1,26
188,0,1,27
49,0,1,28
189,0,1,29
50,0,1,30
190,0,1,31
51,0,1,32
191,0,1,33
39,0,1,34
171,0,1,35
38,0,1,36
170,0,1,37
37,0,1,38
169,0,1,39
36,0,1,40
168,0,1,41
32,0,1,42
172,0,1,43
33,0,1,44
173,0,1,46
34,0,1,47
174,0,1,48
35,0,1,49
175,0,1,50
47,0,1,51
163,0,1,52
46,0,1,53
162,0,1,54
45,0,1,55
161,0,1,57
44,0,1,58
160,0,1,59
40,0,1,60
164,0,1,61
41,0,1,62
165,0,1,63
42,0,1,64
166,0,1,65
43,0,1,66
167,0,1,67
95,0,2,0
211,0,2,1
94,0,2,2
210,0,2,3
93,0,2,4
209,0,2,5
92,0,2,6
208,0,2,7
88,0,2,8
212,0,2,9
89,0,2,10
213,0,2,12
90,0,2,13
214,0,2,14
91,0,2,15
215,0,2,16
87,0,2,17
219,0,2,18
86,0,2,19
218,0,2,20
85,0,2,21
217,0,2,23
84,0,2,24
216,0,2,25
80,0,2,26
220,0,2,27
81,0,2,28
221,0,2,29
82,0,2,30
222,0,2,31
83,0,2,32
223,0,2,33
71,0,2,34
203,0,2,35
70,0,2,36
202,0,2,37
69,0,2,38
201,0,2,39
68,0,2,40
200,0,2,41
64,0,2,42
204,0,2,43
65,0,2,44
205,0,2,46
66,0,2,47
206,0,2,48
67,0,2,49
207,0,2,50
79,0,2,51
195,0,2,52
78,0,2,53
194,0,2,54
77,0,2,55
193,0,2,57
76,0,2,58
192,0,2,59
72,0,2,60
196,0,2,61
73,0,2,62
197,0,2,63
74,0,2,64
198,0,2,65
75,0,2,66
199,0,2,67
127,0,3,0
243,0,3,1
126,0,3,2
242,0,3,3
125,0,3,4
241,0,3,5
124,0,3,6
240,0,3,7
120,0,3,8
244,0,3,9
121,0,3,10
245,0,3,12
122,0,3,13
246,0,3,14
123,0,3,15
247,0,3,16
119,0,3,17
251,0,3,18
118,0,3,19
250,0,3,20
117,0,3,21
249,0,3,23
116,0,3,24
248,0,3,25
112,0,3,26
252,0,3,27
113,0,3,28
253,0,3,29
114,0,3,30
254,0,3,31
115,0,3,32
255,0,3,33
103,0,3,34
235,0,3,35
102,0,3,36
234,0,3,37
101,0,3,38
233,0,3,39
100,0,3,40
232,0,3,41
96,0,3,42
236,0,3,43
97,0,3,44
237,0,3,46
98,0,3,47
238,0,3,48
99,0,3,49
239,0,3,50
111,0,3,51
227,0,3,52
110,0,3,53
226,0,3,54
109,0,3,55
225,0,3,57
108,0,3,58
224,0,3,59
104,0,3,60
228,0,3,61
105,0,3,62
229,0,3,63
106,0,3,64
230,0,3,65
107,0,3,66
231,0,3,67
287,1,0,0
403,1,0,1
286,1,0,2
402,1,0,3
285,1,0,4
401,1,0,5
284,1,0,6
400,1,0,7
280,1,0,8
404,1,0,9
281,1,0,10
405,1,0,12
282,1,0,13
406,1,0,14
283,1,0,15
407,1,0,16
279,1,0,17
411,1,0,18
278,1,0,19
410,1,0,20
277,1,0,21
409,1,0,23
276,1,0,24
408,1,0,25
272,1,0,26
412,1,0,27
273,1,0,28
413,1,0,29
274,1,0,30
414,1,0,31
275,1,0,32
415,1,0,33
263,1,0,34
395,1,0,35
262,1,0,36
394,1,0,37
261,1,0,38
393,1,0,39
260,1,0,40
392,1,0,41
256,1,0,42
396,1,0,43
257,1,0,44
397,1,0,46
258,1,0,47
398,1,0,48
259,1,0,49
399,1,0,50
271,1,0,51
387,1,0,52
270,1,0,53
386,1,0,54
269,1,0,55
385,1,0,57
268,1,0,58
384,1,0,59
264,1,0,60
388,1,0,61
